Branch,calendar_year,annual_revenue,revenue_quartile
WALM003,2020,4822,1
WALM003,2021,4178,1
WALM003,2022,4436,1
WALM003,2023,4741,1
WALM009,2020,4909,1
WALM009,2021,6557,1
WALM009,2022,4876,1
WALM009,2023,5933,1
WALM025,2020,3946,1
WALM025,2021,3015,1
WALM025,2022,3262,1
WALM025,2023,3028,1
WALM029,2020,5031,1
WALM029,2021,5169,1
WALM029,2022,5400,1
WALM029,2023,3750,1
WALM030,2020,4567,1
WALM030,2021,6432,1
WALM030,2022,5622,1
WALM030,2023,4130,1
WALM032,2020,3800,1
WALM032,2021,5520,1
WALM032,2022,3860,1
WALM032,2023,3833,1
WALM035,2020,3316,1
WALM035,2021,4097,1
WALM035,2022,3986,1
WALM035,2023,5262,1
WALM038,2020,4647,1
WALM038,2021,3770,1
WALM038,2022,3864,1
WALM038,2023,5900,1
WALM046,2020,5730,1
WALM046,2021,4161,1
WALM046,2022,5074,1
WALM046,2023,3528,1
WALM050,2020,4208,1
WALM050,2021,3518,1
WALM050,2022,3318,1
WALM050,2023,4499,1
WALM054,2020,5585,1
WALM054,2021,4165,1
WALM054,2022,3484,1
WALM054,2023,4631,1
WALM055,2020,4666,1
WALM055,2021,4008,1
WALM055,2022,4022,1
WALM055,2023,4860,1
WALM056,2020,3474,1
WALM056,2021,4666,1
WALM056,2022,3736,1
WALM056,2023,3730,1
WALM058,2020,5885,1
WALM058,2021,6097,1
WALM058,2022,5227,1
WALM058,2023,5405,1
WALM065,2020,4134,1
WALM065,2021,3656,1
WALM065,2022,4966,1
WALM065,2023,4681,1
WALM069,2020,5433,1
WALM069,2021,4410,1
WALM069,2022,4439,1
WALM069,2023,5414,1
WALM073,2020,4287,1
WALM073,2021,3527,1
WALM073,2022,4446,1
WALM073,2023,3777,1
WALM074,2020,4658,1
WALM074,2021,5540,1
WALM074,2022,4257,1
WALM074,2023,5125,1
WALM075,2020,5179,1
WALM075,2021,4937,1
WALM075,2022,3391,1
WALM075,2023,4411,1
WALM082,2020,3704,1
WALM082,2021,5008,1
WALM082,2022,4299,1
WALM082,2023,4974,1
WALM084,2020,4739,1
WALM084,2021,5649,1
WALM084,2022,6067,1
WALM084,2023,4011,1
WALM086,2020,4010,1
WALM086,2021,4488,1
WALM086,2022,4091,1
WALM086,2023,3427,1
WALM087,2020,4318,1
WALM087,2021,4453,1
WALM087,2022,4056,1
WALM087,2023,4005,1
WALM089,2020,5291,1
WALM089,2021,4142,1
WALM089,2022,3326,1
WALM089,2023,4744,1
WALM099,2020,3283,1
WALM099,2021,3898,1
WALM099,2022,4662,1
WALM099,2023,3712,1
